ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url
4917276,Domestic assembly,Used car,Sedan,"10,000 Km",Silver,Black,4-door,5-seat,Petrol	1.25 L,,Manual,FWD - Front-wheel drive,6	L/100Km," Huyndai i10 base version with Provincial Odo license plate number over 10,000, super smooth, nylon not yet peeled off, 100% original paint. Screen on Android Contact me for the best price",Hyundai,i10,2021.0,Hyundai i10 1.2 MT Standard 2021,355000000,https://bonbanh.com/xe-hyundai-i10-1.2-mt-tieu-chuan-2021-4917276
4819739,Domestic assembly,Used car,Sedan,"260,000 Km",Green,gray,4-door,5-seat,Petrol	3.0 L,,Manual,FWD - Front-wheel drive,9	L/100Km," For sale toyota camry 3.0V 2002, beautiful car with Hanoi license plate. Nice and sturdy car, good price. If you are interested, please come and see the car.",Toyota,Camry,2002.0,Toyota Camry Grande 3.0 V6 2002,190000000,https://bonbanh.com/xe-toyota-camry-grande-3.0-v6-2002-4819739
4924967,Domestic assembly,Used car,Sedan,"139,000 Km",Black,Cream,4-door,5-seat,Petrol	2.4 L,,Manual,FWD - Front-wheel drive,L/100Km, The family needs to sell their 2003 car with 4 numbers left. Very beautiful. I immediately liked the car.,Toyota,Camry,2003.0,Toyota Camry 2.4G 2003,239000000,https://bonbanh.com/xe-toyota-camry-2.4g-2003-4924967
4912625,Domestic assembly,Used car,Sedan,"12,000 Km",Silver,Brown,4-door,5-seat,Petrol	1.25 L,,Manual,FWD - Front-wheel drive,L/100Km," sell i10 1.2MT sedan 2021Private car without service One owner from the beginning with 1.2V km If you intend to buy a new car for business, then pay attention to this one, the car is like new but can save quite a bit for spending.",Hyundai,i10,2021.0,Hyundai i10 1.2 MT Standard 2021,350000000,https://bonbanh.com/xe-hyundai-i10-1.2-mt-tieu-chuan-2021-4912625
4841717,Domestic assembly,Used car,Hatchback,"130,000 Km",Green,gray,5-door,5-seat,Petrol	1.5 L,,Manual,FWD - Front-wheel drive,7	L/100Km, Family needs to sell Mazda2 hatchback model 211 with manual transmission,Mazda,2,2011.0,Mazda 2 1.5 MT 2011,210000000,https://bonbanh.com/xe-mazda-2-1.5-mt-2011-4841717
4883536,Domestic assembly,Used car,Sedan,"1,730,000 Km",Copper,Copper,4-door,5-seat,Petrol	1.8 L,,Manual,FWD - Front-wheel drive,L/100Km," Having had his driver's license revoked for 11 months, his family needs to sell his 2008 Honda civic, manual transmission. Family cars should be carefully maintained. Commitment to not being flooded or crashed. You're very nice, but I'm sorry to have to send you to another home. For further details please contact!",Honda,Civic,2008.0,Honda Civic 1.8 MT 2008,240000000,https://bonbanh.com/xe-honda-civic-1.8-mt-2008-4883536
4506325,Domestic assembly,Used car,Crossover,"69,736 Km",Silver,Brown,5-door,8-seat,Petrol	2.0 L,,Manual,RFD - Rear-wheel drive,L/100Km,"For sale is a Toyota Inova E produced 17 years old, 2018, manual transmission, silver gray color, very low mileage, 80,000 miles, I bought the car and take good care of it. I have regular maintenance on the car and take good care of it, I guarantee it won't crash. The car was flooded, the interior is still intact, the engine is very solid and strong. Come to see the car, please contact me before office hours.",Toyota,Innova,2017.0,Toyota Innova 2.0E 2017 car,518000000,https://bonbanh.com/xe-toyota-innova-2.0e-2017-4506325
2538257,Imported,New car,SUV,0 Km,Silver,gray,5-door,7-seat,Petrol	1.5 L,multi-point fuel injection,Manual,FWD - Front-wheel drive,5	L/100Km,"Completely imported car from IndonesiaEngine: 1.5L- Overall dimensions D x W x H: 4,395 x 1,735 x 1,690 (mm).- Wheelbase: 2,740 (mm).- Ground clearance: 180 mm Support Loan support 50% - 80% Preferential interest rate, neat documents Warranty, genuine maintenance for 3 years or 100,000km Full gifts included.",Suzuki,Ertiga,2022.0,Suzuki Ertiga GL 1.5 MT 2022,499000000,https://bonbanh.com/xe-suzuki-ertiga-gl-1.5-mt-2022-2538257
4890185,Domestic assembly,Used car,Sedan,0 Km,Sand,Cream,4-door,5-seat,Petrol	1.5 L,,Manual,FWD - Front-wheel drive,L/100Km," Toyota Vios E manual transmission, manufactured in 2017, beautiful license plate Equipped with: leather seats, electric mirrors, reversing camera, entertainment screen,... The car is guaranteed not to crash or flood. Contact to see the car.",Toyota,Vios,2017.0,Toyota Vios 1.5E 2017,356000000,https://bonbanh.com/xe-toyota-vios-1.5e-2017-4890185
4896159,Imported,Used car,Bán tải / Pickup,"86,237 Km",White,Black,4-door,5-seat,Diesel	2.2 L,,Manual,RFD - Rear-wheel drive,6	L/100Km," Family car used by 1 owner from the beginning (registered August 2017) - ODO has nearly 8.7 thousand miles - Equipped accessories: Trunk liner, high trunk lid with lights, leather seats, dash cam... - The car is kept clean inside and out, bought ready to use, no need to do anything. Commitment to original engine number and thread (Brand check included if needed)",Ford,Ranger,2017.0,Ford Ranger XLS 2.2L 4x2 MT 2017,465000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2017-4896159
4808471,Imported,Used car,Bán tải / Pickup,"220,000 Km",Black,Black,4-door,5-seat,Diesel	2.5 L,Oil,Manual,4WD - Four-wheel drive (4WD),8	L/100Km, For sale is a very well maintained car by the owner of the Willtrack premium version with 2 manual transmission,Ford,Ranger,2011.0,Ford Ranger Wildtrak 2.5L 4x4 MT 2011,297000000,https://bonbanh.com/xe-ford-ranger-wildtrak-2.5l-4x4-mt-2011-4808471
4822691,Imported,Used car,Hatchback,"90,000 Km",Silver,Silver,5-door,5-seat,Petrol	1.2 L,,Manual,FWD - Front-wheel drive,4	L/100Km,"Urgent sale of Toyota 2020 car. Gasoline engine, 4 seats, manual transmission, family car, Hoa Binh province license plate, car has not had a taxi service for a day, car is quite new, black interior, gray car, leather seats , installed Android screen, electric mirrors, cast wheels, 2 airbags, full version, female car. Very well preserved. Now that I have a baby, I won't use it. Selling price includes TL. If anyone is interested, call me (No workers will be accepted)",Toyota,Wigo,2020.0,Toyota Wigo 1.2G MT 2020,295000000,https://bonbanh.com/xe-toyota-wigo-1.2g-mt-2020-4822691
4628173,Domestic assembly,Used car,Sedan,0 Km,Silver,Cream,4-door,5-seat,Petrol	1.5 L,,Manual,FWD - Front-wheel drive,L/100Km,"Auto Dung Huyen just bought Toyota Vios E version produced in 2017. The car is fully equipped with all the amenities of the line, the interior and exterior are very beautiful. Commitment to quality vehicles, no crashes, no flooding. Contact now to view the car",Toyota,Vios,2017.0,Toyota Vios 1.5E 2017,350000000,https://bonbanh.com/xe-toyota-vios-1.5e-2017-4628173
4808013,Domestic assembly,Used car,Sedan,0 Km,Black,Colorful,4-door,5-seat,Petrol	1.5 L,,Manual,FWD - Front-wheel drive,L/100Km," Gentra 2009 manual transmission - Beautiful car with no faults, excellent transmission - Private owner, kept clean and beautiful Contact to see the car",Daewoo,Gentra,2009.0,Daewoo Gentra SX 1.5 MT 2009,119000000,https://bonbanh.com/xe-daewoo-gentra-sx-1.5-mt-2009-4808013
4900282,Imported,Used car,Bán tải / Pickup,"100,000 Km",Green,Black,4-door,5-seat,Diesel	2.2 L,,Manual,RFD - Rear-wheel drive,L/100Km," Ford Ranger SLX: 2.2: manual transmission: imported from Thailand - diesel engine Currently upgraded to Raptor for 200 million - sparkling beautiful - When re-registered, install the original car's accessories after 1 hour of registration and then re-install Raptor is done. Rent any garage for 300K - disassemble and install done. (note: great and beautiful car)",Ford,Ranger,2016.0,Ford Ranger XLS 2.2L 4x2 MT 2016,410000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2016-4900282
4829714,Imported,Used car,Bán tải / Pickup,0 Km,Green,Black,4-door,5-seat,Diesel	2.2 L,,Manual,RFD - Rear-wheel drive,6	L/100Km," I need to sell ford ranger xls MT. The car was bought new by the original owner, the whole car was painted zin, there are almost no scratches. Because I no longer need to use it, I will give it to someone who needs it",Ford,Ranger,2017.0,Ford Ranger XLS 2.2L 4x2 MT 2017,480000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2017-4829714
