ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url
4878479,Imported,Used car,SUV,"33,000 Km",Copper,Colorful,5-door,7-seat,Petrol	1.5 L,,Automatic,RFD - Rear-wheel drive,10	L/100Km," Family car runs and keeps very well. Playing Eggs so need to sell urgently, please support. Sister's car phone number",Toyota,Rush,2021.0,Toyota Rush 1.5S AT 2021,540000000,https://bonbanh.com/xe-toyota-rush-1.5s-at-2021-4878479
4864926,Imported,Used car,Sedan,0 Km,White,Black,4-door,5-seat,Petrol	2.5 L,Electronic fuel injection,Automatic,FWD - Front-wheel drive,5	L/100Km," TOYOTA CAMRY 2.5Q_IMPORTED THAI_SURF 32,000KMX 100% original car, including all items Buying and exchanging used cars at high prices HCM license plate, Document withdrawal ✓️Commitment to car not being crashed or flooded ✓️Commitment to original machinery ✓️Check the brand according to customer's request. Support to pay in installments of 75% of the car price",Toyota,Camry,2019.0,Toyota Camry 2.5Q 2019,1009000000,https://bonbanh.com/xe-toyota-camry-2.5q-2019-4864926
4890686,Domestic assembly,Used car,Sedan,"36,000 Km",White,Cream,4-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km," Selling a 2020 Vios G, running 3v6 original car, privately owned car, injector, solid chassis, good engine, smooth engine, cool air conditioning, nice tires, just serviced, ready to go.",Toyota,Vios,2020.0,Toyota Vios 1.5G 2020,475000000,https://bonbanh.com/xe-toyota-vios-1.5g-2020-4890686
4848675,Domestic assembly,Used car,Sedan,"63,000 Km",Silver,Yellow,4-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km,"Vios 1.5G 2014 automatic, silver color, gasoline engine, private owner's name, city license plate, transfer to Hanoi license plate without license fee. The car is beautiful and has no faults. Driven 6.30,000 km. Commitment to no collisions, no flooding, original manufacturer's machinery. Vehicle is equipped with: high-quality leather seats, electric keys, alloy cast wheels, electric mirrors, air conditioning. radio, music radio, FM and many other utilities... Contact directly for more details and good prices! Thank you",Toyota,Vios,2014.0,Toyota Vios 1.5G 2014,375000000,https://bonbanh.com/xe-toyota-vios-1.5g-2014-4848675
4808947,Imported,Used car,Van/Minivan,"12,000 Km",Black,Brown,5-door,7-seat,Hybrid	2.5 L,,Automatic,FWD - Front-wheel drive,L/100Km," Toyota Sienna Platinum Sx 2021. Imported to the US✓Black and Brown car✓Odo: 10,000 km✓ options: 9-inch entertainment screen supporting Android Auto/Apple Carplay and Amazon Alexa connection, 12 high-end JBL speakers, rearview mirror Anti-glare, 4-zone independent air conditioning, wireless charging, 360 Camera, automatic emergency braking.",Toyota,Sienna,2021.0,Toyota Sienna Platinum 2.5 AT 2021,4550000000,https://bonbanh.com/xe-toyota-sienna-platinum-2.5-at-2021-4808947
4911438,Domestic assembly,Used car,Sedan,"56,789 Km",White,Cream,4-door,5-seat,Petrol	1.8 L,,Automatic,FWD - Front-wheel drive,L/100Km,"Toyota Corolla Altis 1.8G 2019 for sale. One owner from the beginning. Fully equipped with current line amenities. The interior and exterior are flawlessly beautiful. Commitment to extremely high quality vehicles, no crashes, no flooding. Who needs contact?",Toyota,Corolla altis,2019.0,Toyota Corolla altis 1.8G AT 2019,565000000,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2019-4911438
4835768,Domestic assembly,Used car,Sedan,"57,000 Km",White,Cream,4-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km," Toyota vios g-2020 for sale by owner, 1 owner fully serviced car, proud to have no accidents or floods.",Toyota,Vios,2020.0,Toyota Vios 1.5G 2020,515000000,https://bonbanh.com/xe-toyota-vios-1.5g-2020-4835768
4709945,Domestic assembly,Used car,SUV,"1,800 Km",Black,Black,5-door,7-seat,Diesel	2.4 L,,Automatic,RFD - Rear-wheel drive,6	L/100Km,"√ Selling Toyota Fortuner Legender, 2.4AT Diesel engine. VN.- Production 2022, Black color, HN license plate√ Fortuner Legender is different from the standard version: - Genuine 360 cam. - Double LED Projector headlights combined with LED daytime running lights, - Led taillight cluster. - Leather interior Red Black. - 8in touch screen with 11 high-end JBL speakers. √ Guaranteed to be no collision, no flooding, original machinery.",Toyota,Fortuner,2022.0,Toyota Fortuner Legender 2.4L 4x2 AT 2022,1180000000,https://bonbanh.com/xe-toyota-fortuner-legender-2.4l-4x2-at-2022-4709945
4473102,Domestic assembly,Used car,Sedan,0 Km,Black,Black,4-door,5-seat,Petrol	2.5 L,,Automatic,FWD - Front-wheel drive,L/100Km, Hong Trang Auto has new Toyota Camry Q 2012. Contact us for more information.,Toyota,Camry,2012.0,Toyota Camry 2.5Q 2012,558000000,https://bonbanh.com/xe-toyota-camry-2.5q-2012-4473102
4915403,Imported,Used car,SUV,"60,000 Km",White,Brown,5-door,5-seat,Petrol	1.8 L,,Automatic,FWD - Front-wheel drive,7	L/100Km,"Governmental vehicles. Full repair history at the company, mileage difference, free car, full 2-way insurance",Toyota,Corolla Cross,2020.0,Toyota Corolla Cross 1.8V 2020,765000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2020-4915403
4921166,Imported,Used car,SUV,"112,000 Km",Black,-,5-door,7-seat,Petrol	2.4 L,,Automatic,FWD - Front-wheel drive,L/100Km,"For sale is a 2007 Toyota rav4, 2.4L automatic transmission, fuel efficient, original car, very quiet engine, no accident or flood, 7 seater car with original interior, nice to see. comes with anroid picture, box Lanrover luggage is nearly 20 million. New shell, Authorized seller to transfer name freely. Price can be reduced. I'm at a high-hormone spring preschool.",Toyota,RAV4,2007.0,Toyota RAV4 2.4 AT 2007,335000000,https://bonbanh.com/xe-toyota-rav4-2.4-at-2007-4921166
