ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url
4874685,Domestic assembly,Used car,Sedan,"80,000 Km",Black,Grey,4-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km, Selling Aveo 2015 with 1.5l engine. Genuine transmission. Exterior is very new. Car is not used. Not flooded.,Chevrolet,Aveo,2015.0,Chevrolet Aveo LTZ 1.5 AT 2015,248000000,https://bonbanh.com/xe-chevrolet-aveo-ltz-1.5-at-2015-4874685
4923710,Domestic assembly,Used car,Sedan,"14,000 Km",White,Cream,4-door,5-seat,Petrol	2.0 L,,Automatic,RFD - Rear-wheel drive,L/100Km," Store offering: Mercedes Benz C200 exclusive 2021. White car with cream interior, odo over 1.4000 km. The vehicle's equipment is in perfect condition. Vehicle with personal name and Hanoi license plate. - Commitment to vehicle quality✓No strong collisions affecting the vehicle structure✓No water damage✓Original machinery and gearbox✓Transparent legal records with no disputes or lawsuits For details, please contact: ---MO LAO OLD CAR Prestige - Quality - dedicated service",Mercedes Benz,C class,2021.0,Mercedes Benz C class C200 Exclusive 2021,1425000000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-exclusive-2021-4923710
4908034,Domestic assembly,Used car,Van/Minivan,0 Km,Green,Green,5-door,8-seat,Diesel	2.2 L,6,Automatic,FWD - Front-wheel drive,6	L/100Km," I'm coming back to take the plane on the ground for my lover, the beauty of Kia Carnival 8-seat premium oil, personal name, hand-held crystal sea, beautiful car like new. Full history of 2v surfer company.. Dki 2022 cbh to 2025, 2021 production. Commitment that the car will not crash, will not be flooded, original machinery will give you 50 coffee beans. Check and check the gala you choose. Ban 70% of 12xy ib if you come to work. See the car here. 138-140 Tan Duong TN HP.",Kia,Carnival,2022.0,Kia Carnival Premium 2.2D 2022,1296000000,https://bonbanh.com/xe-kia-carnival-premium-2.2d-2022-4908034
4714117,Domestic assembly,Used car,SUV,0 Km,Silver,Black,5-door,7-seat,Petrol	2.4 L,,Automatic,FWD - Front-wheel drive,L/100Km,"CAPTIVA LTZ 2016 ATX 2016 production car, automatic gasoline engine, LTZ version, full screen, private owner with Saigon license plate (you can buy it without paying license plate) , glossy zin paint, genuine zin interior from the factory, original original machinery, zin thread glue, zin every screw, beautiful and sparkling, guys. The high-end car is equipped with all the classy amenities of a luxury and branded car such as a 6-speed automatic transmission, electric mirrors, electric folding mirrors, super bright bi-ball headlights, and integrated ghost resolution. front light, 2-stage LED tube taillight, high-end BMW, electronic handbrake, sunroof, independent 2-zone auto air conditioning, 7-inch Android screen, modern multi-function, beautiful image on the mirror , 19 inch 5 dual-chassis cast rims, 4-wheel ABS brakes, cruise control (automatic throttle), 4-way 8-way electric seats, airbags around the car, sensors around the car ..etc cars for civil servants, bank officials Just going from home to work, getting in the car is still very nice, has a solid ride, the Ecotec fuel economy is almost at the top of the list compared to 7-seater cars, the technical specifications posted on the car's windshield are announced by the manufacturer. , fuel consumption for 100km on the road is 7.8l, very economical for a powerful and powerful SUV, long registration, new tires all over, car smells like new, many places still have unopened nylon. all, the snail still has the factory stamp! If you buy this, your class will reach a new level, it's a beautiful bag for you guys! The price is too reasonable for consumption! Dear uncle, I love you!",Chevrolet,Captiva,2016.0,Chevrolet Captiva Revv LTZ 2.4 AT 2016,498000000,https://bonbanh.com/xe-chevrolet-captiva-revv-ltz-2.4-at-2016-4714117
4828006,Domestic assembly,Used car,Sedan,"31,000 Km",White,Black,4-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,6	L/100Km,"QuangLinh Auto offers for sale: Mazda 3 1.5AT automatic transmission, 2019, electric seat version, 3V original (1km drive, get 1 million). Personal name with a new subject. Phu Tho beach. Vehicle fully maintained by the company since new. 98% original paint. Encourage vehicle inspection anywhere upon request. 12 month warranty on vehicle quality. Anyone interested, call me and I'll get the best price.",Mazda,3,2019.0,Mazda 3 1.5L Luxury 2019,560000000,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2019-4828006
4912995,Domestic assembly,Used car,Sedan,"51,000 Km",Green,Cream,4-door,5-seat,Petrol	1.6 L,,Automatic,FWD - Front-wheel drive,L/100Km, Commitment that the vehicle will not crash or flood in a written contract. Includes inspection,Kia,Cerato,2019.0,Kia Cerato 1.6 AT Luxury 2019,525000000,https://bonbanh.com/xe-kia-cerato-1.6-at-luxury-2019-4912995
4900398,Imported,Used car,Sedan,"72,686 Km",Red,gray,4-door,5-seat,Petrol	1.4 L,,Automatic,FWD - Front-wheel drive,L/100Km," Brand new. Kia rio 2015 automatic transmission.imported,car has 70,000 miles on it.interior is like new.original transmission.no crashes.checked the car and found fault, giving 10 million to passersby.———————— See the car at Luc Nam-Bac Giang-Hanh Huyen Auto Facebook",Kia,Rio,2015.0,Kia Rio 1.4 AT 2015,368000000,https://bonbanh.com/xe-kia-rio-1.4-at-2015-4900398
4643087,Imported,Used car,Bán tải / Pickup,"31,000 Km",White,Grey,4-door,5-seat,Diesel	2.5 L,,Automatic,4WD - Four-wheel drive (4WD),L/100Km,"Want to change to a 7 seater car, need to transfer it to someone who needs it, 2.5 engine saves fuel, many mechanics will check all types, see if the car is right for you.",Chevrolet,Colorado,2019.0,Chevrolet Colorado LTZ 2.5L 4x4 AT 2019,609000000,https://bonbanh.com/xe-chevrolet-colorado-ltz-2.5l-4x4-at-2019-4643087
4854042,Domestic assembly,Used car,Hatchback,0 Km,White,Black,5-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km,"The owner needs to sell a mazda2, a family car in good condition, with full regular maintenance. No intermediaries",Mazda,2,2015.0,Mazda 2S 2015,330000000,https://bonbanh.com/xe-mazda-2-s-2015-4854042
4729495,Domestic assembly,Used car,Sedan,"10,000 Km",Black,Black,4-door,5-seat,Petrol	1.8 L, Gasoline,Automatic,RFD - Rear-wheel drive,8	L/100Km,"The family needs to sell a 2010 model C200 with 2011 registration, original transmission, the owner needs to upgrade the car's model, now looking for a willing person to buy and inspect the car at home, no need to meet the mechanic, thank you.",Mercedes Benz,C class,2010.0,Mercedes Benz C class C200 CGI 2010,310000000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-cgi-2010-4729495
4864611,Imported,Used car,SUV,"50,000 Km",Black,Cream,5-door,7-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km," Stuck in money and need to find a new owner. Need to sell 7 seater CRV car - imported from Thailand. Used family car with 50,000 km. 2017 car rolled out in early 2018. Black car with Saigon license plate. Vehicle registration and insurance documents. Fully furnished. The interior is still brand new. Original mechanical system from the manufacturer. The car runs smoothly and is cool and spacious. Allows many technicians to test and inspect comfortably. No collisions, flooding... Commitment",Honda,CRV,2017.0,Honda CRV E 2017,760000000,https://bonbanh.com/xe-honda-crv-e-2017-4864611
4890068,Domestic assembly,Used car,Sedan,"55,000 Km",Black,Brown,5-door,5-seat,Petrol	2.4 L,,Automatic,FWD - Front-wheel drive,7	L/100Km," Pictures speak for themselves ☺️ Kia k5 optima GT line 2.4 AT full drama 2017 city license plate - car with 5v km original owner using new words. Full brand name! Equipment: 10 Harman Kardon speakers, Panorama sunroof, 2-zone auto air conditioning, steering wheel controls, heated front and rear seats, Auto hold, heated steering wheel, electronic handbrake, 2-position seat memory , driver's seat, electric passenger seat...",Kia,Optima,2017.0,Kia Optima 2.4 GT line 2017,595000000,https://bonbanh.com/xe-kia-optima-2.4-gt-line-2017-4890068
4915844,Domestic assembly,Used car,Sedan,"35,000 Km",Red,Brown,4-door,5-seat,Petrol	2.0 L,,Automatic,RFD - Rear-wheel drive,L/100Km,"We would like to introduce to our customers the 2019 RED MERCEDES BENZ C300 AMG - a car with a beautiful diamond-shaped grille design, 3-spoke logo, Multibeam headlight system using Ultra Range micro-strip technology for superior performance. Lighting capacity up to 650m - seat system covered entirely with high-quality leather - 13.25 inch touch screen located right in the middle of the dashboard helps the driver easily control and monitor journey information...✓ Written commitment: • Standard machinery, no collision or flooding, • Clear legal documents, including company check test • Support for title transfer and vehicle delivery procedures nationwide",Mercedes Benz,C class,2019.0,Mercedes Benz C class C300 AMG 2019,1385000000,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2019-4915844
