ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url
3774713,Domestic assembly,New car,Sedan,0 Km,Red,Black,4-door,5-seat,Petrol	2.5 L,,Automatic,FWD - Front-wheel drive,L/100Km,"All new Mazda 6 2.5 Premium The most modern luxury car in the segment. Equipped with a series of the most modern options of Mazda today: Active Safety Package, seat cooling system, Apple/Android carplay connection, phone charger wireless, fast charging 2.1, Mazda connect, sharp 8'' DVD screen. Smart emergency brake support system, comes with a radar system to keep distance, warn the driver. Advanced noise canceling upgrades from the body to the tires according to the vehicle,",Mazda,6,2023.0,Mazda 6 Signature Premium 2.5 AT 2023,931000000,https://bonbanh.com/xe-mazda-6-signature-premium-2.5-at-2023-3774713
4905170,Domestic assembly,New car,SUV,0 Km,White,Cream,5-door,5-seat,Petrol	1.5 L,Direct fuel injection,Automatic,FWD - Front-wheel drive,7	L/100Km," Extremely good deals - Cars for immediate delivery, all colors: diamond white, ruby red, black, metallic brown, platinum silver - Maximum installment payment of 85% - Preferential interest rate of only 0.9%/month, fixed for 3 years - Contact directly 24/7 to receive preferential quotes - The new generation Ford Territory is designed according to Ford's global DNA to create a strong, outstanding SUV with superior performance. :+ 1.5 Ecoboost engine + Modern 7-speed automatic transmission not only brings quality and durability but also gives you the feeling of light, smooth shifting combined with impressive fuel economy. Contact me. !",Ford,Territory,2023.0,Ford Territory Trend 1.5 AT 2023 car,770000000,https://bonbanh.com/xe-ford-territory-trend-1.5-at-2023-4905170
4901382,Domestic assembly,Used car,SUV,0 Km,White,Cream,5-door,7-seat,Petrol	2.0 L,,Automatic,FWD - Front-wheel drive,L/100Km,"Find a rival for the Mittsubisi oulander 2018 Premmium 2.0 AT AT with the latest 5v km v in Vietnam! Hurry up and transfer the car to the full option version equipped with screen, 360 camera, car seat price, blind spot warning...the car has the owner's personal name and has been used since new. Misubisi oulander 2.0 AT premmium 5v km manufactured in 2018 ✓ White color / interior according to the car✓ Registered 2018 1 owner from new with full company history RECEIVED EARLY DEPOSIT TO KEEP THE CAR AND BEST PRICE!☀Written quality commitment ☀Support for bank loans, title transfer procedures. ☀Supports nationwide inspection/testing. ☀Support 70-75% installment payment, up to 6-7 years (No need to prove income) Just have: (30%) to have the car to pay. 300 million to receive the car. PRICE: very lovely 6xx Contact please: Mr.Hieu Facebook: Viet 3s Auto SPECIALIZES in buying and selling used cars SPECIALIZES in providing new cars from brands with the best prices on the market ⚜️.Viet 3s auto.⚜️ ""QUALITY CARS - BEAUTIFUL PRICES - BUY WITHIN RANGE Hand ""QUALITY CAR - BEAUTIFUL PRICE - BUY WITHIN REACH",Mitsubishi,Outlander,2018.0,Mitsubishi Outlander 2.0 CVT Premium 2018,660000000,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-premium-2018-4901382
4473442,Imported,Used car,Sedan,"108,800 Km",Yellow,Cream,4-door,5-seat,Petrol	5.0 L,,Automatic,FWD - Front-wheel drive,L/100Km," Hanoi Auto Supermarket sells Cadillac Seville luxury classic cars 68,000 miles manufactured in 1975 and registered in 1993. Hanoi Auto Supermarket guarantees that the car will not be touched or flooded, and has original machinery. If you have any needs, please contact us! The store supports installment payments via banks!",Cadillac,Seville,,Cadillac Seville 4.9 AT Before 1990,2300000000,https://bonbanh.com/xe-cadillac-seville-4.9-at-1989-4473442
4872675,Imported,Used car,Convertible/Cabriolet,"8,000 Km",White,Red,2-door,2-seat,Petrol	2.0 L,,Automatic,RFD - Rear-wheel drive,L/100Km," Porsche 718 Boxster sx 2021 with 8000km of white and red. White color with black interior, fully equipped with options, electric seats, Chrono clock, BOSE speakers, sports steering wheel, and many other options Committed to not selling defective cars, no collision, no flooding.✪ Support for installment loans from 70% to 80% of car value with low interest rates✪ Exchange and consign customers' cars✪ Consulting on car valuation to help customers, Experience test driving of customers' cars showroom",Porsche,718,2021.0,Porsche 718 Boxster 2.0 AT 2021,5200000000,https://bonbanh.com/xe-porsche-718-boxster-2.0-at-2021-4872675
4850929,Imported,Used car,Bán tải / Pickup,"67,000 Km",Green,Cream,4-door,5-seat,Diesel	2.2 L,,Automatic,RFD - Rear-wheel drive,L/100Km, Ranger 2017 automatic transmission Guaranteed to have no defects and give the car away,Ford,Ranger,2017.0,Ford Ranger XLS 2.2L 4x2 AT 2017,485000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2017-4850929
4928524,Imported,Used car,Bán tải / Pickup,"28,000 Km",Black,Black,4-door,5-seat,Diesel	2.4 L,,Automatic,RFD - Rear-wheel drive,L/100Km,"Newly arrived for immediate sale: Triton 4x2 AT Mivec sx 2021 Automatic transmission with 2.8 thousand km. ACE connects with customers to sell. Thanks! Where is the best price? This will be better. The price is very flexible as long as the car can be drifted. The car is crash-free, not flooded, car sales with warranty, support for buying cars in installments, factory testing included,....If you need to contact us for more detailed information!",Mitsubishi,Triton,2021.0,Mitsubishi Triton 4x2 AT Mivec 2021,575000000,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-mivec-2021-4928524
4834906,Imported,Used car,Hatchback,"26,000 Km",White,gray,4-door,5-seat,Petrol	1.2 L,,Automatic,FWD - Front-wheel drive,L/100Km,"Because I no longer need 4 seats, I need to sell the mit mirage 2019. CVt eco version. Odo 26k. Because it rarely runs, it's like new and has been regularly maintained. . See the car",Mitsubishi,Mirage,2019.0,Mitsubishi Mirage 1.2 CVT Eco 2019,330000000,https://bonbanh.com/xe-mitsubishi-mirage-1.2-cvt-eco-2019-4834906
4877367,Domestic assembly,Used car,SUV,"24,000 Km",White,Cream,5-door,7-seat,Diesel	2.2 L,,Automatic,AWD - 4-wheel drive (AWD),8	L/100Km," kia sorento sx 2021 diesel engine, premium, odo 2.4V km super new like just taken out from the company, guaranteed the car will not crash or flood Price: Negotiable when viewing the car in person",Kia,Sorento,2021.0,Kia Sorento Premium 2.2 AT AWD 2021,1080000000,https://bonbanh.com/xe-kia-sorento-premium-2.2-at-awd-2021-4877367
4886819,Domestic assembly,Used car,Sedan,0 Km,Sand,Cream,4-door,5-seat,Petrol	1.8 L,,Automatic,FWD - Front-wheel drive,L/100Km," I changed to a new car so I transferred the civic206AT. I guarantee that the car will not crash or flood. The car is mechanically and threaded, the car is very compact and sturdy, the interior and exterior are like new, and the fuel economy is very economical. Just buy it and drive, you don't have to do anything, the car is even more beautiful than before.",Honda,Civic,2006.0,Honda Civic 1.8 AT 2006,235000000,https://bonbanh.com/xe-honda-civic-1.8-at-2006-4886819
