ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url
4871731,Domestic assembly,Used car,SUV,"100,000 Km",Black,Colorful,5-door,8-seat,Petrol	2.7 L,,Automatic,RFD - Rear-wheel drive,L/100Km,"The owner needs to sell a 1-owner private car from the beginning, the tires still come with the car. The original car has not been crashed, the original engine has not been damaged in any way",Toyota,Fortuner,2015.0,Toyota Fortuner 2.7V 4x2 AT 2015,545000000,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2015-4871731
4843596,Domestic assembly,Used car,Sedan,0 Km,Copper,Cream,4-door,5-seat,Petrol	2.4 L,,Automatic,FWD - Front-wheel drive,9	L/100Km," My family sold a 2008 Camry - Owner signed and notarized in 40 minutes. Bronze color, excellent engine, quiet, cool air conditioning, sturdy chassis. Make sure to see if you like the car, it has 14,000 miles on it, and is usually kept in the garage all week. Only bring it out on Saturdays and Sundays to go to my grandmother's house (because my house is close to the office - 500m). The car is so cool guys, the real car is even more beautiful than in the pictures. If you want to see the car, please contact me, thank you!",Toyota,Camry,2008.0,Toyota Camry 2.4G 2008,370000000,https://bonbanh.com/xe-toyota-camry-2.4g-2008-4843596
4633825,Domestic assembly,Used car,Sedan,0 Km,Black,Cream,4-door,5-seat,Petrol	2.4 L,,Automatic,FWD - Front-wheel drive,L/100Km," Toyota Camry 2.4G 2007 Solid platform, smooth engine without any oil leaks, deep cool air conditioning, very nice interior, integrated steering wheel. The car runs very smoothly and safely, 2 airbags. In general, the car is very good, you don't have to do anything to buy it, refuel it and drive it.",Toyota,Camry,2007.0,Toyota Camry 2.4G 2007,365000000,https://bonbanh.com/xe-toyota-camry-2.4g-2007-4633825
4928807,Imported,Used car,SUV,"17,600 Km",Black,Brown,5-door,8-seat,Petrol	2.7 L,,Automatic,RFD - Rear-wheel drive,L/100Km," Car has been used very little - Guaranteed exact ODO number 17,600km, genuine maintenance - No collisions or floods - Genuine inspection included. - Car is like new in the factory, super nice license plate 686.39 - View car directly",Toyota,Fortuner,2018.0,Toyota Fortuner 2.7V 4x2 AT 2018,950000000,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2018-4928807
4511573,Domestic assembly,Used car,Sedan,"55,000 Km",Silver,Cream,4-door,5-seat,Petrol	2.0 L,Ssi,Automatic,FWD - Front-wheel drive,8	L/100Km,"The owner can sell the Camry Sx 2014 very nice car, anyone who needs it can contact you immediately.",Toyota,Camry,2014.0,Toyota Camry 2.0E 2014,555000000,https://bonbanh.com/xe-toyota-camry-2.0e-2014-4511573
4796102,Domestic assembly,Used car,Sedan,"119,000 Km",Black,Black,4-door,5-seat,Petrol	2.0 L,,Automatic,FWD - Front-wheel drive,8	L/100Km,"The family wants to find a new owner to continue accompanying the Toyota Corolla Altis 2011 premium 2.0v version that they are driving. The car is fuel efficient, Japanese cars are healthy and durable, anyone who keeps the car will run out of juice. score by year. The car is full of leather seats, stratocaster button, reverse cam, etc. The car is completely accident free, not flooded, original engine, etc. The car is fully tested by a mechanic who is willing to see if it is still negotiable.",Toyota,Corolla altis,2011.0,Toyota Corolla altis 2.0V 2011,415000000,https://bonbanh.com/xe-toyota-corolla_altis-2.0v-2011-4796102
4910678,Domestic assembly,Used car,SUV,"95,000 Km",White,Black,5-door,8-seat,Diesel	2.4 L,7,Automatic,RFD - Rear-wheel drive,7	L/100Km," Selling 2019 Fortuner automatic diesel engine, original city plate, my car is the owner",Toyota,Fortuner,2019.0,Toyota Fortuner 2.4G 4x2 AT 2019,825000000,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-at-2019-4910678
4716118,Domestic assembly,Used car,Sedan,"47,000 Km",Black,Cream,4-door,5-seat,Petrol	2.0 L,Electronic fuel injection,Automatic,FWD - Front-wheel drive,8	L/100Km," TOYOTA CAMRY 2.0E SURF Manufactured: October 2019 Registered: October 2019 Origin: Vietnam Engine: 2.0L License plate: Picture Color: Black/cream Odo has run: 47,000km Legal: Personal Options: film American insulation, Android screen, Detachable camera...the car is still very new, the spare wheel has not touched the ground.✓Guaranteed to be collision-free, original machinery, test case, and every screw...",Toyota,Camry,2019.0,Toyota Camry 2.0E 2019,795000000,https://bonbanh.com/xe-toyota-camry-2.0e-2019-4716118
4921901,Imported,Used car,SUV,"7,500 Km",White,Colorful,5-door,7-seat,Petrol	1.5 L,,Automatic,RFD - Rear-wheel drive,L/100Km," The car is very new, original, inspected COMMITMENT: NO ACCIDENTS, NO FLOODING, ENGINE HAS NEVER BEEN REPAIRED Accessories equipped with the car: - Heat insulation film - Simili floor lining - Door handle covers - Cup covers door-DVD screen-Dashboard camera-Up and down steps",Toyota,Rush,2020.0,Toyota Rush 1.5S AT 2020,585000000,https://bonbanh.com/xe-toyota-rush-1.5s-at-2020-4921901
4914043,Domestic assembly,Used car,Sedan,"130,000 Km",Black,-,4-door,5-seat,Petrol	1.8 L,,Automatic,FWD - Front-wheel drive,L/100Km," 1 owner civil servant car, registered from the beginning, just maintained during Tet for 15 million. Running normally, selling to upgrade car. Beautiful license plate 30U 3726",Toyota,Corolla altis,2009.0,Toyota Corolla altis 1.8G AT 2009,340000000,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2009-4914043
4910522,Imported,Used car,Sedan,"18,000 Km",White,Cream,4-door,5-seat,Petrol	2.5 L,electronic,Automatic,FWD - Front-wheel drive,6	L/100Km," Toyota Camry 2.5Q 2021The car has traveled 18,000 km. Commitment to a beautiful car, no defects, no collisions or water damage. Support for installment loans of 80% of the car value, simple documents, quick procedures.",Toyota,Camry,2021.0,Toyota Camry 2.5Q 2021,1120000000,https://bonbanh.com/xe-toyota-camry-2.5q-2021-4910522
