ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url
4658966,Imported,New car,Van/Minivan,0 Km,Red,Black,5-door,7-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km,"Hyundai Stargazer Special 1.5 AT 2022The special edition only uses halogen headlights and fog lights, with an additional automatic on/off feature. The LED taillight cluster is connected to form an ""H"" shape. - Multi-spoke tray designed like the high-end version, 16 inches in size with two-tone finish - Leather-wrapped steering wheel, integrated media buttons, free conversation manual, automatic throttle...- 4.2 inch digital screen - 10.25 inch central screen.-...Contact to book a car and receive the most preferential price of the month!!",Hyundai,Stargazer,2022.0,Hyundai Stargazer Special 1.5 AT 2022,570000000,https://bonbanh.com/xe-hyundai-stargazer-dac-biet-1.5-at-2022-4658966
4921527,Imported,New car,Bán tải / Pickup,0 Km,Silver,Black,4-door,5-seat,Diesel	1.9 L,,Automatic,RFD - Rear-wheel drive,L/100Km,Isuzu DMAX Prestige 4x2 AT CONTACT to receive the best quote!!!***Technical specifications: - Dimensions LxWxH (mm): 5265 x 1870 x 1785 - Dimensions of the trunk (mm): 1495 x 1530 x 490- Ground clearance (mm): 235- Engine: 1.9L RZ4E – TC- Engine capacity (cc): 1898- Maximum power: 150 (110) / 3600- Maximum torque: 350 / 1800 ~ 2600,Isuzu,Dmax,2023.0,Isuzu Dmax Prestige 1.9L 4x2 AT 2023,685000000,https://bonbanh.com/xe-isuzu-dmax-prestige-1.9l-4x2-at-2023-4921527
4880119,Domestic assembly,New car,SUV,0 Km,Grey,Black,5-door,5-seat,Petrol	2.0 L,,Automatic,FWD - Front-wheel drive,L/100Km," New Mazda CX5 superior technology - GVC-Plus system increases stability when entering and exiting corners, better balance control. - Upgrading the car's suspension system provides better shock absorption, reducing the level of vibration , shaking sideways when operating. - Adjusting the fuel injection system increases torque at lower rpm, more sensitive throttle response",Mazda,CX5,2023.0,Mazda CX5 Premium 2.0 AT 2023 car,829000000,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2023-4880119
3433619,Domestic assembly,New car,Bán tải / Pickup,0 Km,Yellow,Black,4-door,5-seat,Diesel	2.0 L,Dual turbo oil injection,Automatic,4WD - Four-wheel drive (4WD),7	L/100Km,"FORD RANGER WILDTRAK 4x4 AT (Full Version) - Strong AMERICAN style appearance - More spacious interior - New 2.0L Bi-Turbo Diesel engine - 10-speed Auto transmission - F150 style C-shaped Matrix LED lights - Wheels 18 inch new model - Sync 4A, 12"" central screen - 8"" digital screen - Wireless charging - Electronic handbrake - Collision warning, automatic emergency braking front and rear - Steering assist Avoid collisions. - 360 camera, digital information about the terrain when entering off-road mode - Vehicle control = phone via FordPass - 7 airbags ALWAYS HAVE A KM PROGRAM FOR CUSTOMERS INCLUDING CHARTERED CUSTOMERS",Ford,Ranger,2023.0,Ford Ranger Wildtrak 2.0L 4x4 AT 2023,972000000,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2023-3433619
4834835,Domestic assembly,New car,Sedan,0 Km,Colorful,Black,4-door,5-seat,Petrol	1.5 L,Electronic fuel injection,Automatic,FWD - Front-wheel drive,6	L/100Km," Welcome the new year 2023. Honda Giai Phong launches a super good promotion program: - Cash bonus deducted directly from the car price - Free full car accessories - InsuranceHonda City 2023 has a luxurious and modern design, conquering the most demanding customers. the most demanding customers: - Start the engine remotely with the key. - Safety system with 6 airbags, VSA electronic balance, ABS brakes, HSA... - 8"" LCD touch screen - 3 reverse cameras rotation angle.- ESS emergency brake light",Honda,City,2023.0,Honda City RS 1.5 AT 2023 car,525000000,https://bonbanh.com/xe-honda-city-rs-1.5-at-2023-4834835
4914550,Imported,New car,SUV,0 Km,Orange,Black,5-door,7-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km,"Xpander Cross 2022 clearance price. Competitive car prices with great promotions.*Support for installment payment of 85% of car value - Loan period up to 8 years*Prepayment of only 200 million including on-road parking*Support for registration, registration, and car delivery at home => Contact now to get the best quote and support * Durable and economical 1.5 engine * Available bodykit according to the vehicle with SUV style. Cam 360 follows the car* Spacious interior, leather seats, electronic handbrake.* Car available for immediate delivery. Contact now to receive the best quote",Mitsubishi,Xpander,2022.0,Mitsubishi Xpander Cross 1.5 AT 2022,630000000,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2022-4914550
4353787,Imported,New car,SUV,0 Km,Silver,Black,5-door,7-seat,Petrol	1.5 L,,Automatic,RFD - Rear-wheel drive,L/100Km,"Toyota Avanza Premium CVT 2022 delivered immediately in all colors*** Product information: - 7-seat automatic transmission car, fuel-efficient 1.5 engine - Equipped with 8-inch screen, 4 speakers, spacious car, fuel-efficient .- Equipped with VSC safety system, hill departure, blind spot warning.........*** Promotional information: Support to give away genuine accessories installed at Toyota - Support Customers buy a car in installments with preferential interest rates, simple and quick documents - Support registration for customers - Genuine nationwide 3-year or 100,000km warranty - Free rain umbrella, leather book, cover steering wheel, coffee perfume - Take souvenir photos.",Toyota,Avanza,2023.0,Toyota Avanza Premio 1.5 AT 2023,598000000,https://bonbanh.com/xe-toyota-avanza-premio-1.5-at-2023-4353787
4667201,Domestic assembly,New car,Bán tải / Pickup,0 Km,Yellow,Black,4-door,5-seat,Diesel	2.0 L,,Automatic,4WD - Four-wheel drive (4WD),L/100Km,"The newly launched 2023 Ford Ranger has been comprehensively upgraded in design, technology, comfort, and performance. The car has a wheelbase increased by 50 mm. - The front of the car is designed to be square, the light cluster is now larger in size with a C-shaped LED positioning light strip, the steering wheel has changed to a 3-spoke shape and area The center console has an optional off-road mode knob, and the infotainment system has been upgraded to the latest SYNC4 type. The car can be connected to a smartphone using the FordPass application, the infotainment system is upgraded to the latest SYNC4 type. The car can be connected to a smartphone using the FordPass application, supports voice commands, remote start,... Quickly contact Ford Ninh Thuan this month to receive the most attractive incentives!",Ford,Ranger,2023.0,Ford Ranger Wildtrak 2.0L 4x4 AT 2023,950000000,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2023-4667201
4890778,Imported,New car,Bán tải / Pickup,0 Km,Green,Copper,4-door,5-seat,Diesel	1.9 L,,Automatic,4WD - Four-wheel drive (4WD),L/100Km,0,Isuzu,Dmax,2022.0,Isuzu Dmax Type Z 1.9L 4x4 AT 2022,825000000,https://bonbanh.com/xe-isuzu-dmax-type-z-1.9l-4x4-at-2022-4890778
3719850,Domestic assembly,New car,Sedan,0 Km,White,Cream,4-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km," Toyota Vios G 2022 version Equipped with: Dual VVT-i engine, intelligent continuously variable automatic transmission, leather seats, DVD screen, push button start, Cruise Control, Front and rear angle sensor....- Support installment payments with preferential interest rates, quick procedures - Quickly contact to receive the best deals from the agent!!!",Toyota,Vios,2022.0,Toyota Vios G 1.5 CVT 2022,592000000,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-3719850
4848800,Domestic assembly,New car,SUV,0 Km,White,Brown,5-door,7-seat,Diesel	2.2 L,,Automatic,AWD - 4-wheel drive (AWD),L/100Km,"Santafe 2.2 Premium Oil 2022 uses the new SmartStream D2.2 engine that comes with a completely new 8-speed wet dual-clutch automatic transmission. The car is equipped with a series of new smart and safety features such as: Starter Remote detonation, tire pressure sensor, push button gear lever, 360 Camera, lane departure warning, blind spot monitoring system, .... and a series of interior and exterior changes with screen design Large 10.25 inch focus and 12.35 inch Digital speedometer screen. Upgraded speaker system with 10 Harman Kardon speakers.",Hyundai,SantaFe,2023.0,Hyundai SantaFe Premium 2.2L HTRAC 2023,1278000000,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2023-4848800
