ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url
4635579,Imported,New car,Sedan,0 Km,Black,Cream,4-door,5-seat,Petrol	2.5 L,Nature,Automatic,FWD - Front-wheel drive,9	L/100Km,"Camry 2.5Q 2022 - Completely imported from Thailand - Black exterior color car, 2 interior colors cream and black for immediate delivery in October 2022",Toyota,Camry,2022.0,Toyota Camry 2.5Q 2022,1355000000,https://bonbanh.com/xe-toyota-camry-2.5q-2022-4635579
4772430,Imported,New car,SUV,0 Km,White,Cream,5-door,7-seat,Petrol	3.4 L,,Automatic,AWD - 4-wheel drive (AWD),L/100Km, Toyota Landcruiser 3.5L Turbo 2023 100% new car for immediate delivery Nationwide delivery Maximum bank support Free registration support Best price on the market Interested customers please contact Sincerely!,Toyota,Land Cruiser,2023.0,Toyota Land Cruiser 3.5 V6 2023,4286000000,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-4772430
3505042,Imported,New car,Hatchback,0 Km,Red,Cream,5-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km,"Yaris G 1.5AT - Attractive promotions this month - Cars available for immediate delivery, all colors - Support for installment payments, preferential interest rates *** - Imported cars from Thailand - CVT automatic transmission - Equipment: Leather seats, high-end 7-inch DVD screen, smart key, automatic throttle, Full Led temple...",Toyota,Yaris,2023.0,Toyota Yaris G 1.5 AT 2023,684000000,https://bonbanh.com/xe-toyota-yaris-g-1.5-at-2023-3505042
4919472,Domestic assembly,New car,SUV,0 Km,Black,Black,5-door,7-seat,Petrol	1.5 L,Dual VTTi,Automatic,FWD - Front-wheel drive,7	L/100Km,"Urgent sale Toyota Veloz 7 seats 100% new car. Extremely deep promotion, 85% bank support, no need to prove income. Contact for advice",Toyota,Veloz,2023.0,Toyota Veloz Cross 1.5 CVT 2023,628000000,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2023-4919472
4695233,Imported,New car,SUV,0 Km,White,Black,5-door,7-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km,"Toyota Veloz Cross Top 1.5 CVT - Cars in all colors, delivered to your door - Support installment payments with preferential interest rates, quick procedures - Contact to receive the best deals of the month!!!***- Equipment Modern safety: TSS (PCS, LDA, AHB), front vehicle departure warning, blind spot warning, cross-traffic warning when reversing, accelerator control... - Mode Spacious and comfortable sofa, charging ports in all positions, many convenient storage locations... Luxurious 9-inch entertainment screen that connects smartphones, 7-inch driver information display screen , automatic air conditioning, wireless charging, electronic handbrake...",Toyota,Veloz,2022.0,Toyota Veloz Cross Top 1.5 CVT 2022,668000000,https://bonbanh.com/xe-toyota-veloz-cross-top-1.5-cvt-2022-4695233
4864959,Imported,New car,SUV,0 Km,Black,Cream,5-door,7-seat,Petrol	3.4 L,,Automatic,AWD - 4-wheel drive (AWD),L/100Km,"LAND CRUISER 300 2023LAND CRUISER is equipped with a new 3.5L V6 Turbo engine with outstanding capacity along with advanced technologies that bring an exciting driving experience and save fuel. The 10-speed automatic transmission ensures smooth operation on all terrains. - Safety equipment: airbags, ABS brakes, HAC hill start assist system, TOYOTA SAFETY SENSE 2.0 advanced safety features ensure safety for passengers in the car,...1 - Early car delivery , Sold nationwide 2- Free foot mat 3 - Free engine oil change and maintenance 4 - Free registration registration support Contact 24/7 (Call or - Message Zalo to get the best quote)",Toyota,Land Cruiser,2023.0,Toyota Land Cruiser 3.5 V6 2023,4286000000,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-4864959
4929073,Imported,New car,Sedan,0 Km,White,Cream,4-door,5-seat,Hybrid	2.5 L,,Automatic,FWD - Front-wheel drive,L/100Km," -05 seats, black or cream leather seats, sunroof, 360 degree camera - 2.5L Gasoline & Electric Hybrid engine, VVT-Ie (intake cam), VVT-i (exhaust cam), D4S, automatic air conditioning 3 zones - E-CVT continuously variable automatic transmission, TSS safety packageContact now for the best support",Toyota,Camry,2023.0,Toyota Camry 2.5HV 2023,1495000000,https://bonbanh.com/xe-toyota-camry-2.5hv-2023-4929073
4864951,Imported,New car,SUV,0 Km,Black,Black,5-door,7-seat,Petrol	3.4 L,,Automatic,AWD - 4-wheel drive (AWD),L/100Km,"LAND CRUISER 300 2023LAND CRUISER is equipped with a new 3.5L V6 Turbo engine with outstanding capacity along with advanced technologies that bring an exciting driving experience and save fuel. The 10-speed automatic transmission ensures smooth operation on all terrains. - Safety equipment: airbags, ABS brakes, HAC hill start assist system, TOYOTA SAFETY SENSE 2.0 advanced safety features ensure safety for passengers in the car,...1 - Early car delivery , Sold nationwide 2- Free foot mat 3 - Free engine oil change and maintenance 4 - Free registration registration support Contact 24/7 (Call or - Message Zalo to get the best quote)",Toyota,Land Cruiser,2023.0,Toyota Land Cruiser 3.5 V6 2023,4286000000,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-4864951
3019216,Domestic assembly,New car,Sedan,0 Km,White,Cream,4-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km,"Toyota An Suong CN Truong Chinh has just arrived at Toyota Vios G CVT, All new G CVT version has many changes, equipped with Cruise Control automatic throttle feature, front and rear parking assist sensors, reversing camera. Inside the interior, the car is equipped with a TFT screen in the instrument cluster, an entertainment system that can connect to Apple CarPlay and Android Auto. If you have any needs, please contact us for the best consulting support! Vehicles available for immediate delivery - Consulting on vehicle material insurance packages - Consulting on installing vehicle accessory packages - Vehicle delivery to provincial customers - Flexible banking, quick approval of documents, preferential interest rates",Toyota,Vios,2023.0,Toyota Vios G 1.5 CVT 2023,592000000,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2023-3019216
4923486,Imported,New car,SUV,0 Km,Black,Black,5-door,7-seat,Petrol	3.4 L,Electronic fuel injection,Automatic,AWD - 4-wheel drive (AWD),12	L/100Km,"Spot Car Toyota Landcruiser LC300 2023 Latest Upgraded Version. The car is upgraded with 4 new features as follows: Speed display on the HUD windshield, ionizing air conditioning, brake support when reversing and up to R20 inch wheels. The car has a 360 camera distance brake, cold box, JBL speakers, electric trunk, sunroof.... - Supports delivery and registration nationwide - 3 year warranty for the car..- --> Contact us for details. Get the best support.",Toyota,Land Cruiser,2023.0,Toyota Land Cruiser 3.5 V6 2023,4286000000,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-4923486
3624211,Domestic assembly,New car,Crossover,0 Km,White,Brown,5-door,8-seat,Petrol	2.0 L,,Automatic,RFD - Rear-wheel drive,L/100Km,"Toyota INNOVA 2.0G - BIG PROMOTION IN APRIL 2023- SUPPORTING INCENTIVES UP TO 40 million - Equipped with FULL accessories - Even more attractive promotions when contacting Ms. Binh immediately for more information.-- -- LED Projector headlights, LED fog lights - HT automatic headlights and navigation lights. - LED daytime lights - LED rear lights and brake lights. - Electrically adjustable/folding outside rearview mirrors + Integrated turn signals, welcome lights. - HT automatic air conditioning with 2 air conditioners. - 8 inch screen, USB/Bluetooth/Apple car play - Smart key and start with start-stop button.",Toyota,Innova,2023.0,Toyota Innova G 2.0 AT 2023 car,840000000,https://bonbanh.com/xe-toyota-innova-g-2.0-at-2023-3624211
4786983,Imported,New car,Bán tải / Pickup,0 Km,Orange,-,4-door,5-seat,Diesel	2.8 L,,Automatic,4WD - Four-wheel drive (4WD),L/100Km," Toyota HILUX 2023 -- STARTING DEPOSIT ✓ Updated with super attractive new features ✓ Euro 5 emission standards ✓ Classy new design Book your car now to receive it as soon as possible!!!!!!!!! Loan support up to 80% of car value, no need to prove income, loan period 1-8 years. - Old collection Renew all car models. - Quick procedures, car delivery to your door",Toyota,Hilux,2023.0,Toyota Hilux 2.8L 4x4 AT 2023,999000000,https://bonbanh.com/xe-toyota-hilux-2.8l-4x4-at-2023-4786983
