ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url
4711604,Imported,Used car,Bán tải / Pickup,0 Km,Green,Black,4-door,5-seat,Diesel	2.2 L,,Manual,4WD - Four-wheel drive (4WD),L/100Km,"Nice car. Beautiful color. 2 bridges. The number of floors going to construction sites, jobs, inter-provincial travel is unbeatable. Fully equipped like the full version. We guarantee that the car has no minor defects and is in good overall condition. Hello for the best price.",Ford,Ranger,2018.0,Ford Ranger XL 2.2L 4x4 MT 2018,495000000,https://bonbanh.com/xe-ford-ranger-xl-2.2l-4x4-mt-2018-4711604
4925421,Domestic assembly,Used car,Crossover,"96,000 Km",Red,Black,4-door,5-seat,Diesel,oil,Automatic,RFD - Rear-wheel drive,7	L/100Km," ECOSPORT 1.5L TITANIUM_2015. 70A-First registration: May 2015Notarized car for saleColor: RedKmometer: 96,000kmAccessories included: Heat insulation film, Android screen, headrest screen, floor lining",Ford,EcoSport,2015.0,Ford EcoSport 1.5 2015,395000000,https://bonbanh.com/xe-ford-ecosport-1.5-2015-4925421
4918943,Domestic assembly,Used car,Sedan,"80,000 Km",White,Black,4-door,5-seat,Petrol	2.0 L,electronic fuel injection,Automatic,FWD - Front-wheel drive,7	L/100Km,"For sale: Mazda6 - Hanoi license plate, white, manufactured - 2015 registration, private owner. Family car, extremely well maintained, 80,000 zin mechanical clock, maintained according to company standards so still very new.- The car has complete papers and long-term registration book. 5 new tires. - Vehicle equipped with: Automatic air conditioning system, ABS brakes, glass dryer, interior seats with leather floor, molded wheels, steering wheel with integrated controls, DVD screen,.. - Car commitment Original beauty, no damage or flooding. Support for title transfer procedures, bank loans at preferential interest rates.",Mazda,6,2015.0,Mazda 6 2.0 AT 2015,480000000,https://bonbanh.com/xe-mazda-6-2.0-at-2015-4918943
4917433,Imported,Used car,SUV,"97,000 Km",Brown,-,5-door,8-seat,Diesel	2.4 L,,Manual,RFD - Rear-wheel drive,L/100Km," Toyota fortunes 4/2019 I no longer need to drive the car, now need to sell. Brown color, std, imported to indo and 97n km. The spare wheel is missing, both sides of the door handle are slightly scratched, and other than that, the car has never had an accident.",Toyota,Fortuner,2019.0,Toyota Fortuner 2.4G 4x2 MT 2019,830000000,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2019-4917433
4920208,Domestic assembly,Used car,Sedan,"60,000 Km",White,Black,4-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,L/100Km," Mazda 3 1.5AT Luxury 2017 ODO 6v km Extremely beautiful sporty shape. Equipped with many, many options. Extremely good price. See the car at: Facility 2: Huong Canh - Binh Xuyen - Vinh Phuc (Near the gate of Binh Xuyen Industrial Park) Support installment payment up to 70% of the car value. Commitment that the vehicle is accident-free, flooded, water-damaged, and that the machinery is intact in writing. Warranty on digital bridge machinery is up to 1 year..",Mazda,3,2017.0,Mazda 3 1.5 AT 2017,465000000,https://bonbanh.com/xe-mazda-3-1.5-at-2017-4920208
4918456,Domestic assembly,Used car,Sedan,0 Km,White,-,4-door,5-seat,Petrol	1.8 L,,Automatic,FWD - Front-wheel drive,L/100Km," Need to buy Toyota Corolla altis 1.8G 2018, white color, real cream, first owner car, 1 generation car. Odo car, over 100,000, beautiful original car, only scratched by time. If interested, contact the original owner of the car.",Toyota,Corolla altis,2018.0,Toyota Corolla altis 1.8G AT 2018,520000000,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2018-4918456
4726259,Imported,Used car,Sedan,0 Km,Black,Black,4-door,5-seat,Petrol	3.0 L,,Automatic,RFD - Rear-wheel drive,L/100Km," Mercedes Maybach S400 black with brown interior, manufactured 2016, registered 2017. If you are interested, contact us for more information.",Mercedes Benz,Maybach,2016.0,Mercedes Benz Maybach S400 2016,4250000000,https://bonbanh.com/xe-mercedes_benz-maybach-s400-2016-4726259
4866328,Domestic assembly,Used car,Sedan,"17,000 Km",Black,Brown,4-door,5-seat,Petrol	2.0 L,,Automatic,RFD - Rear-wheel drive,L/100Km, Mercedes-Benz E200 Black/brown Model 2019 odo 18000km Well-traveled family car Committed to not crash or flood,Mercedes Benz,E class,2018.0,Mercedes Benz E class E200 2018,1350000000,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2018-4866328
4869940,Domestic assembly,Used car,Sedan,"16,000 Km",Black,Brown,4-door,5-seat,Petrol	2.0 L,,Automatic,RFD - Rear-wheel drive,L/100Km," Mercedes_Benz_E200_Sx_2021 Black with brown interior. Roll: 10,000 6 trees. Contact to view the car for more details!",Mercedes Benz,E class,2021.0,Mercedes Benz E class E200 Exclusive 2021,2039000000,https://bonbanh.com/xe-mercedes_benz-e_class-e200-exclusive-2021-4869940
4905195,Imported,Used car,SUV,"16,000 Km",Brown,-,5-door,4-seat,Petrol	3.0 L,,Automatic,AWD - 4-wheel drive (AWD),L/100Km,"Range Rover SV autobiography Red and Black New design, with 4 options, from standard, Matrix LED, Pixel and Pixel Laser, 24-way electric driver's seat, I don't know if it's too much. The car's dashboard screen includes 2 10-inch touch screens, one for entertainment and one for controlling air conditioning and chairs. The smart control function of amenities through software on Smartphones will make many people happy. On the Land Rover Range Rover 2021 there are up to 17 different connection ports, from USB, HDMI, to 12V charging port. The car has a built-in Wifi-4G broadcast function with the ability to provide internet for up to 8 devices... The car is crash-free, not flooded, car sales with warranty, support for buying cars in installments, factory testing included, ....If you are interested, please contact us for more detailed information!",LandRover,Range Rover,2021.0,LandRover Range Rover SVAutobiography LWB 3.0 I6 2021,11380000000,https://bonbanh.com/xe-landrover-range_rover-svautobiography-lwb-3.0-i6-2021-4905195
4815056,Domestic assembly,Used car,SUV,"23,000 Km",White,Grey,5-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,6	L/100Km," The car has a Saigon license plate. The company has fully checked 167 technical points. Commitment to not crashing, flooding, or rewinding the clock. Clear legal origin. Bank support, nationwide document withdrawal. If you are interested in the car, please contact me. Price to see the car is negotiable, get more benefits.",Ford,EcoSport,2019.0,Ford EcoSport Titanium 1.5L AT 2019,545000000,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2019-4815056
4815338,Domestic assembly,Used car,SUV,"51,000 Km",Black,Brown,5-door,7-seat,Diesel	2.2 L,,Automatic,AWD - 4-wheel drive (AWD),8	L/100Km,"Black Santafe 2019 full premium oilOdo 51,000kmCity license plate•black/brown interior, interior and exterior are in good conditionOriginal machinery, 99.8% original paint•Absolutely say no to faulty, crashed, flooded, yes Legal issues▪Includes nationwide company inspection/testing▪24/7 consultation on car models and vehicle models▪Free notarized sales contract▪Support for fastest title transfer procedures▪Documentary commitment Contract on quality of vehicle sold",Hyundai,SantaFe,2019.0,Hyundai SantaFe Premium 2.2L HTRAC 2019,970000000,https://bonbanh.com/xe-hyundai-santafe-premium-2.2l-htrac-2019-4815338
4929265,Imported,Used car,SUV,"4,500 Km",White,White,5-door,5-seat,Petrol,,Automatic,FWD - Front-wheel drive,8	L/100Km,"•I need to sell a CX-30 Premium 2022 imported from Thailand with only 4,500km on the road, the car is as beautiful as a new car, not a single scratch or dent, if found I will give an additional 10 million •The car still has a 4 year manufacturer warranty, new Regular oil change and maintenance at 4000km • The car has been pasted with the highest quality 3m film, and the 4-wheel tire pressure has been installed for a total of 20 million • The car has complete sales invoices from Thaco company, in my name. The owner of the sales contract or authorization is fine. • The car can be inspected by the manufacturer, checked by the garage, and tested by a technician. • The contract guarantees that the machinery is original, the paint is original and has never been damaged or repaired. If it is wrong, please donate. the whole car.• Good luck for those who are willing to buy it to drive!",Mazda,CX 30,2022.0,Mazda CX 30 Premium 2022 car,760000000,https://bonbanh.com/xe-mazda-cx-30-premium-2022-4929265
4825713,Imported,Used car,Sedan,"80,000 Km",White,Black,4-door,5-seat,Petrol	1.5 L,,Automatic,FWD - Front-wheel drive,7	L/100Km,"For sale: Honda Civic 1.5L turbo 2017 (full version) The car has herringbone lights, front and rear turn signals, interior trim, rear body kit, on/off exhaust, rear spoiler,... Luxury car. Owner's name, no bank loan, registration valid until 6/2023. The trunk is in nice shape and hasn't been used much. All the seats in the car have been covered since purchased new so there are no scratches or discoloration. The car is in normal use with no damage or errors. See the car live at.",Honda,Civic,2017.0,Honda Civic 1.5L Vtec Turbo 2017,635000000,https://bonbanh.com/xe-honda-civic-1.5l-vtec-turbo-2017-4825713
