ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url
4756858,Domestic assembly,New car,Sedan,0 Km,Grey,Cream,4-door,5-seat,Petrol	2.0 L,,Automatic,RFD - Rear-wheel drive,L/100Km,"new generation BMW 520 Luxury Line Model equipped with: BMW Live Cockpit Professional system with digital dashboard and entertainment screen of the same size 12.3 inches, operated by iDrive 7 operating system ; Sports-style 3-spoke leather-wrapped steering wheel, integrated multi-touch control so you can easily adjust the volume, connect calls, access the entertainment system... Contact HOTLINE now to receive many great favors",BMW,5 Series,2023.0,BMW 5 Series 520i Luxury Line 2023,2139000000,https://bonbanh.com/xe-bmw-5_series-520i-luxury-line-2023-4756858
4748093,Domestic assembly,New car,Bán tải / Pickup,0 Km,Silver,Black,4-door,5-seat,Diesel	2.2 L,,Automatic,RFD - Rear-wheel drive,L/100Km,Ford Ranger 2023 XLS version protects users with a long list of safety equipment such as: - Front and rear parking sensors - 2-view reversing camera - Lane departure warning - Automatic throttle - Electronic balance - Anti-roll control - 2 airbags -...- Order now to get your car delivered soon with a big promotion package !!!!!,Ford,Ranger,2023.0,Ford Ranger XLS 2.0L 4x2 AT 2023,640000000,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2023-4748093
4908962,Domestic assembly,New car,Truck,0 Km,White,gray,2-door,3-seat,Diesel,,Manual,RFD - Rear-wheel drive,L/100Km,Hyundai porter H150 refrigerated box has a temperature of minus 18 degrees Celsius. The box floor is made of thick and sturdy 304 stainless steel. Composite layered walls and monolithic heat-retaining Foam layers. Contact Hyundai Dong Nam to see the car and get the best advice!,Hyundai,Porter,2023.0,Hyundai Porter Refrigerated Container 2023,530000000,https://bonbanh.com/xe-hyundai-porter-thung-dong-lanh-2023-4908962
4872257,Imported,New car,Coupe,0 Km,White,Brown,4-door,4-seat,Petrol	2.0 L,,Automatic,RFD - Rear-wheel drive,L/100Km,"BMW 430i Gran Coupe sports car model with M Sport equipment package, coupe model shows off personality for young people, with 4 seating positions in the car, providing convenience when moving the whole family. 2.0L engine TwinpowerTurbo 258 Hp8-speed Steptronic automatic transmission Torque 400N.mM-Sport exterior equipment packagePersonal, different, fashionable, sporty Coupe design.M-Sport suspension systemM-Sport brake shacklesM-Sport steering wheelHeadlights BMW Laser light Full Digital entertainment screen Harman Kardom sound system Sports driver's seat, Alcatara suede Automatic air conditioning Sunroof BMW 7.0 operating system touch entertainment screen 360 surroud camera Automatic reverse car ready for immediate delivery Contact now to book car booking.",BMW,4 Series,2022.0,BMW 4 Series 430i Gran Coupe M Sport 2022,3159000000,https://bonbanh.com/xe-bmw-4_series-430i-gran-coupe-m-sport-2022-4872257
4806543,Domestic assembly,New car,SUV,0 Km,Green,Colorful,5-door,5-seat,Petrol	2.0 L,,Automatic,AWD - 4-wheel drive (AWD),9	L/100Km, ** Promotion up to 200 million with many attractive gifts - Cash incentives directly on the car price - 1 year car body insurance. - 3M premium heat insulation film with 10 year warranty - Premium Mercedes Benz Ceramic coating - 02 years of free maintenance support1. Car delivered early and on time.2. Financial support up to 80% of car value Sincerely thank you!!!,Mercedes Benz,GLC,2023.0,Mercedes Benz GLC 300 4Matic 2023,2639000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2023-4806543
4864192,Domestic assembly,New car,SUV,0 Km,Black,Brown,5-door,7-seat,Diesel	2.2 L,Direct oil injection,Automatic,AWD - 4-wheel drive (AWD),6	L/100Km,"Hyundai SantaFe premium oil for sale! Best price on the market! Only 02 cars left! The car is equipped with a completely new N-Platform chassis system, and is designed according to the trend of being bigger, stronger and more luxurious. Specifically, the car has dimensions of Length x Width x Height of 4,785 x 1,900 x 1,730 (mm), respectively, and the wheelbase of the car is kept at 2,765mm; providing a more spacious space for passengers, with a ground clearance of 185mm, a front approach angle of 18.5 degrees and a rear departure angle of 21.2 degrees...",Hyundai,SantaFe,2022.0,Hyundai SantaFe Premium 2.2L HTRAC 2022,1199000000,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2022-4864192
4917670,Domestic assembly,New car,Bán tải / Pickup,0 Km,Silver,Black,4-door,5-seat,Diesel	2.2 L,,Automatic,RFD - Rear-wheel drive,L/100Km, Ford Ranger 2023 XLS version protects users with a long list of safety equipment such as: - Front and rear parking sensors - 2-view reversing camera - Lane departure warning - Automatic throttle - Electronic balance - Anti-roll control - 2 airbags -...Contact us for advice and receive the most preferential price!,Ford,Ranger,2023.0,Ford Ranger XLS 2.0L 4x2 AT 2023,640000000,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2023-4917670
4681471,Domestic assembly,New car,Sedan,0 Km,Red,Cream,4-door,5-seat,Petrol	1.5 L,Electromagnetic fuel injection,Automatic,FWD - Front-wheel drive,6	L/100Km, Year-end clearance special offers: - Promotion for Toyota Vios models: + Free Toyota Vietnam gold package insurance for Vios cars + Free genuine accessories package from Toyota + Installment loan up to 80% within 7 years + Interest Promotional rate for Toyota Vios 6.49%+ Disbursement within 24 hours CALL NOW hotline number and leave password information: 4BANH to receive more incentives,Toyota,Vios,2022.0,Toyota Vios G 1.5 CVT 2022,547000000,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-4681471
4756843,Imported,New car,Convertible/Cabriolet,0 Km,White,Red,2-door,2-seat,Petrol	2.0 L,,Automatic,RFD - Rear-wheel drive,L/100Km,"The BMW Z4 sDrive30i M Sport has the ""heart"" of a 2.0L I4 Gasoline engine, TwinPower Turbo. This machine is capable of producing a maximum capacity of 258 horsepower at 5000-6500 rpm, maximum torque of 400 Nm at 1550-4400 rpm. All power is transmitted to the rear-wheel drive system. through an 8-speed Steptronic automatic transmission. BMW Z4 sDrive30i M Sport 2022 includes notable features such as: Information display function on the windshield HUD Cruise control Front and side airbags Stability system Electronic car body Parking assist with integrated reversing camera Reverse assist function Tire repair tool LH for the best support and advice!",BMW,Z4,2023.0,BMW Z4 sDrive30i M Sport 2023,3509000000,https://bonbanh.com/xe-bmw-z4-sdrive30i-m-sport-2023-4756843
3389526,Imported,New car,SUV,0 Km,White,Brown,5-door,7-seat,Petrol	2.0 L,,Automatic,AWD - 4-wheel drive (AWD),L/100Km,"Volvo XC90 Ultimate 2023- Premium breathable perforated Nappa leather, 19 B&W speakers, Apple Car Play. Clean Zone air filtration system.- HUD system, emergency brake assist, super wide Panorama sunroof, 360 Camera, Smart cruise control system.- Blind spot warning system, Air suspension system compression, Lane keeping assist system.",Volvo,XC90,2022.0,Volvo XC90 Ultimate 2022 car,4050000000,https://bonbanh.com/xe-volvo-xc90-ultimate-2022-3389526
